# Life Regenerated per second|Refills flasks |Drink Deeply |Player mod - Special |0
Area is inhabited by Goatmen|Monsters have 40% increased Area of Effect|Size often matters||0
Cannot be Frozen|Opens 6 portals to Olmec's Sanctum|Vaal guardians survive long after their empire has fallen|Portal|0
#% increased Armour, Evasion and Energy Shield|Summons Abaxoth|You sense a great evil|Spawn - Special|0
Cannot Leech Life from Monsters|Get extra reputation (or an instant level up?) with a master in your hideout|The forsaken favour you|Special|0
Cannot Leech Mana from Monsters|Get extra reputation (or an instant level up?) with a master in your hideout|The forsaken favour you|Special|0
Area is inhabited by Humanoids|40-49% more Monster Life|Tough as nails|Map mod|0
#% increased Monster Movement Speed|Grants permanent Divine shrine|Become the nightmare|Player mod - Shrine|0
#% increased Monster Attack Speed|Grants permanent Divine shrine|Become the nightmare|Player mod - Shrine|0
#% increased Monster Cast Speed|Grants permanent Divine shrine|Become the nightmare|Player mod - Shrine|0
#% of Physical Damage taken as Fire Damage|Opens 6 portals to Poorjoy's Asylum|Its all in your head|Portal|0
Cannot roll Attack Mods|Sawbones , Thorn and Rose spawns in the area|Catarina's Trial begins in 30 seconds. It ends if you run away. Be prepared to die.|Spawn - Special|0
Prefixes Cannot Be Changed|Triskeriaki , Kuduku, the False God , M'gaska, the Living Pyre , Forest of Flames , Boka , Jikeji , Rua , Wha , Sapling with few rare and magic monsters spawns in the area|Haku's Trial begins in 30 seconds. It ends if you run away. Be prepared to die.|Spawn - Special|0
Cannot roll Caster Mods|Spawn every version of Vagan, Weaponmaster to attack you|Vagan's Trial begins in 30 seconds. It ends if you run away. Be prepared to die.|Spawn - Special|0
Can have multiple Crafted Mods|Unknown|Elreon's Trial begins in 30 seconds. It ends if you run away. Be prepared to die. |Spawn - Special|0
Suffixes Cannot Be Changed|Unknown|Tora's Trial begins in 30 seconds. It ends if you run away. Be prepared to die. |Spawn - Special|0
Cannot roll Mods with Required Level above 28|[Unconfirmed]Open six portals to Hall of Grandmasters|Leo's Trial begins in 30 seconds. It ends if you run away. Be prepared to die.|Spawn - Special|0
#% increased rarity during flask effect|Opens six portals to Death and Taxes|Head towards sunset|Portal|0
Damage Penetrates #% Cold Resistance|Opens six portals to Untainted Paradise|Where no man has tread|Portal|0
Attack Projectiles return to you|You are rewarded with 10 Orbs of Alchemy|The best tools are the ones you make yourself|Reward - Currency|0
+# to Weapon Range|You are rewarded with 20 Orbs of Alteration|Magic isn't constant. It can be mutated into many forms|Reward - Currency|0
